d-08-2026 10:46:16 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:18 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:18 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:19 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:19 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:19 | INFO     | ball_tracking.ball_tracking.video_processor | Finished clip: E:\full_pitch_clips\Video_20260324_125035_567.mp4 -> C:\Users\Admin\AppData\Local\Temp\claude\D--full-path-speed-logic\0e71007e-3ab4-4b3b-91bc-288992e03748\scratchpad\test_out.mp4 (263 frames written)
d-08-2026 10:46:21 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:21 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:22 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:22 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:24 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:24 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:25 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:25 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:27 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:27 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:28 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:28 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:29 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:29 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:30 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:30 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:32 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:32 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:33 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:33 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/ball_detection.pt
d-08-2026 10:46:33 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:33 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/bat_detection.pt
d-08-2026 10:46:33 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/stump_detection.pt
d-08-2026 10:46:34 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/pose_detection.pt
d-08-2026 10:46:34 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:34 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:35 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:36 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:36 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:36 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 0 detection(s)
d-08-2026 10:46:37 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:37 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:38 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 0 detection(s)
d-08-2026 10:46:38 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 0, humans: 0
d-08-2026 10:46:39 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:39 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:40 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:40 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:41 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:41 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:42 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:42 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:43 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:43 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:44 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:44 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:45 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:45 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:46 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:46 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:46 | INFO     | ball_tracking.ball_tracking.video_processor | Finished clip: E:\full_pitch_clips\Video_20260324_125035_567.mp4 -> D:\full_path_speed_logic\outputs\05-08-2026\full_pitch_clips\Video_20260324_125035_567.mp4 (263 frames written)
d-08-2026 10:46:46 | INFO     | ball_tracking.ball_tracking.video_processor | Processing clip: E:\full_pitch_clips\Video_20260324_125035_797.mp4 (313 frames)
d-08-2026 10:46:47 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:47 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:48 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:48 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:49 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:49 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:50 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:50 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:50 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:51 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:52 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:52 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:52 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:52 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:54 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:54 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:54 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:55 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:56 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:56 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:56 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:57 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:57 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:57 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:46:58 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:58 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:46:59 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:46:59 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:47:00 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:47:00 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:47:01 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:47:01 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:47:02 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:47:02 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:47:03 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:47:03 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:47:04 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:47:04 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:47:05 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
